SubscriptionName,SubscriptionGuid,Date,ResourceGuid,ServiceName,ServiceType,ServiceRegion,ServiceResource,Quantity,Cost
"Azure for Students","10d61632-4229-4aef-abb2-6ae23828b5cf","2/3/2022","0ab798ac-6d96-4ccc-89d1-0cc91dcd5e21","Bandwidth","Inter-Region","Europe","Data Transfer Out","153.698506","3.073970"
"Azure for Students","10d61632-4229-4aef-abb2-6ae23828b5cf","3/13/2022","0ab798ac-6d96-4ccc-89d1-0cc91dcd5e21","Bandwidth","Inter-Region","Europe","Data Transfer Out","0.000136","0.000001"
"Azure for Students","10d61632-4229-4aef-abb2-6ae23828b5cf","3/14/2022","0ab798ac-6d96-4ccc-89d1-0cc91dcd5e21","Bandwidth","Inter-Region","Europe","Data Transfer Out","0.000234","0.000005"
"Azure for Students","10d61632-4229-4aef-abb2-6ae23828b5cf","3/15/2022","0ab798ac-6d96-4ccc-89d1-0cc91dcd5e21","Bandwidth","Inter-Region","Europe","Data Transfer Out","0.000125","0.000002"
"Azure for Students","10d61632-4229-4aef-abb2-6ae23828b5cf","3/16/2022","0ab798ac-6d96-4ccc-89d1-0cc91dcd5e21","Bandwidth","Inter-Region","Europe","Data Transfer Out","0.000202","0.000004"
"Azure for Students","10d61632-4229-4aef-abb2-6ae23828b5cf","3/17/2022","0ab798ac-6d96-4ccc-89d1-0cc91dcd5e21","Bandwidth","Inter-Region","Europe","Data Transfer Out","0.000183","0.000003"
"Azure for Students","10d61632-4229-4aef-abb2-6ae23828b5cf","3/18/2022","0ab798ac-6d96-4ccc-89d1-0cc91dcd5e21","Bandwidth","Inter-Region","Europe","Data Transfer Out","1.1E-05","0.000000"
"Azure for Students","10d61632-4229-4aef-abb2-6ae23828b5cf","2/3/2022","d10c880f-c782-407f-97a1-0d25a42dd628","Storage","Files v2","EU North","LRS Metadata","4.8E-05","0.000000"
"Azure for Students","10d61632-4229-4aef-abb2-6ae23828b5cf","2/4/2022","d10c880f-c782-407f-97a1-0d25a42dd628","Storage","Files v2","EU North","LRS Metadata","7.2E-05","0.000000"
"Azure for Students","10d61632-4229-4aef-abb2-6ae23828b5cf","2/5/2022","d10c880f-c782-407f-97a1-0d25a42dd628","Storage","Files v2","EU North","LRS Metadata","7.2E-05","0.000000"
"Azure for Students","10d61632-4229-4aef-abb2-6ae23828b5cf","2/6/2022","d10c880f-c782-407f-97a1-0d25a42dd628","Storage","Files v2","EU North","LRS Metadata","7.2E-05","0.000000"
"Azure for Students","10d61632-4229-4aef-abb2-6ae23828b5cf","2/7/2022","d10c880f-c782-407f-97a1-0d25a42dd628","Storage","Files v2","EU North","LRS Metadata","7.2E-05","0.000000"
"Azure for Students","10d61632-4229-4aef-abb2-6ae23828b5cf","2/8/2022","d10c880f-c782-407f-97a1-0d25a42dd628","Storage","Files v2","EU North","LRS Metadata","7.2E-05","0.000000"
"Azure for Students","10d61632-4229-4aef-abb2-6ae23828b5cf","2/9/2022","d10c880f-c782-407f-97a1-0d25a42dd628","Storage","Files v2","EU North","LRS Metadata","7.2E-05","0.000000"
"Azure for Students","10d61632-4229-4aef-abb2-6ae23828b5cf","2/10/2022","d10c880f-c782-407f-97a1-0d25a42dd628","Storage","Files v2","EU North","LRS Metadata","7.2E-05","0.000000"
"Azure for Students","10d61632-4229-4aef-abb2-6ae23828b5cf","2/11/2022","d10c880f-c782-407f-97a1-0d25a42dd628","Storage","Files v2","EU North","LRS Metadata","7.2E-05","0.000000"
"Azure for Students","10d61632-4229-4aef-abb2-6ae23828b5cf","2/12/2022","d10c880f-c782-407f-97a1-0d25a42dd628","Storage","Files v2","EU North","LRS Metadata","7.2E-05","0.000000"
"Azure for Students","10d61632-4229-4aef-abb2-6ae23828b5cf","2/13/2022","d10c880f-c782-407f-97a1-0d25a42dd628","Storage","Files v2","EU North","LRS Metadata","7.2E-05","0.000000"
"Azure for Students","10d61632-4229-4aef-abb2-6ae23828b5cf","2/14/2022","d10c880f-c782-407f-97a1-0d25a42dd628","Storage","Files v2","EU North","LRS Metadata","7.2E-05","0.000000"
